id,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-67A0093CA5B44D958388-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,20 dk.,"16,1 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
DD-B6638214262B42CD8622-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,19 dk.,"15,7 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
DD-1EFD5C3047224462BB58-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"9,0 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
DD-52140F3DB9174AF7A43C-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,19 dk.,"12,8 km",MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842
DD-9C9649AA03A24BC88B7F-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,16 dk.,"9,2 km",MG-FYEKUDWVT2HT9PHGOHQW,40.9227993,29.1298266
DD-47FFB635C9A04EA1BF40-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"9,8 km",MG-PB1BQVMGF5OMPTYQKXFX,40.9194316,29.1668144
DD-7F8B478ECF1146DFABAB-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,23 dk.,"18,5 km",MG-7O7S0NFPBMDNXTHPC6FW,40.877863,29.23139
DD-C2F1ACB609654A9C9276-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"14,6 km",MG-C1LGMZ7KTLQUDMPWOYLY,40.9696194,29.25556
DD-D3D0FC374C2F4EB5BADC-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,24 dk.,"19,4 km",MG-SWNY7GTJBI89E08T4JFL,40.8712304,29.2319842
DD-E311DD4470704E829DED-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,20 dk.,"12,6 km",MG-FCQILG1RYT2W2HNIYPZC,40.983599,29.0237147
