id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-8F890159692940E9BABF-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,26 dk.,"19,8 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
DD-1774A8608E1C48C2BF6E-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,21 dk.,"12,0 km",MG-KTQH2ADWMARCG0DLHWKX,40.9845564,29.0477845
DD-F85F05CEB48F45FFAC8F-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,27 dk.,"14,3 km",MG-AOUMXHKWRKWOZB5AZ7UN,41.0475223,29.0761274
DD-3CC87FC7F86441C39DD8-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"10,0 km",MG-0YQN4Q7IEZGB3TKJWO8H,41.024865,29.087227
DD-B69DB3672F32400DB8FD-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,24 dk.,"10,5 km",MG-FPSXQ62YWQZ8GFRXNIUR,40.9191952,29.1641401
DD-FACB9D0B9AB74BC483BC-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,17 dk.,"6,3 km",MG-3IZZSUUU6FDKQLKWHOPB,40.9633215,29.0860626
DD-A5A6260E92F7485D80ED-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,23 dk.,"9,8 km",MG-LTWVHHDZLN26T8PU8VJM,41.0102647,29.2160216
DD-8DEFC2FB4F9A4865A2AE-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"7,3 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
DD-9F940E8E703A46F28C17-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,31 dk.,"19,4 km",MG-R3US4EXI19IFYPJGBGGE,40.879326,29.258135
DD-CB6472EB16D342449FB1-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,34 dk.,"31,2 km",MG-UXJPDIXYECVETWF4FSH5,40.8661939,29.2749606
DD-02E7042300DC42148091-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,27 dk.,"17,5 km",MG-VJEUBK1JZEQGFUY13AYK,41.049788,29.0545406
DD-B766E5C3F51A40AF8B52-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,30 dk.,"13,3 km",MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842
DD-811B607E23964F73BA6E-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,32 dk.,"25,0 km",MG-VVESJOL8ESQXP6VK308G,40.9193435,29.3015336
DD-C3FE38EFDD3F4CCCA34D-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,31 dk.,"23,1 km",MG-SWNY7GTJBI89E08T4JFL,40.8712304,29.2319842
