store_id,store_location,store_address,latitude,longitude,depot_id
MG-CEDQAJNDAVIO6SAUBPVX,İST MERDİVENKÖY CD,"Tuğlacıbaşı (Merdivenköy) Mah. Fahrettin Ker. Gök. Cd. 163/B/KADIKÖY, İSTANBUL",40.9864251,29.066357,DP-9NCBLLHI6RU2U7SXDNRH
MG-FCQILG1RYT2W2HNIYPZC,İST MODA CD,"Caferağa Mah. Moda Cad. No:140/A/KADIKÖY, İSTANBUL",40.983599,29.0237147,DP-9NCBLLHI6RU2U7SXDNRH
MG-HKDDSLZ7DHNEXPDPO6OX,İST NAUTILUS AVM,"Fatih Cad. No:1, 117 Nolu Mağaza, Acıbadem/KADIKÖY, İSTANBUL",41.0010389,29.029593,DP-9NCBLLHI6RU2U7SXDNRH
MG-RCSKVKLO3QBCFEDUVI8R,İST ANATOLIUM IKEA AVM,"Soğanlık Yeni Mah., soğanlık D100 Kuzey Yan Yol Cad, No: 72/KARTAL, İSTANBUL",40.922615,29.173975,DP-9NCBLLHI6RU2U7SXDNRH
MG-OFSTOW3XC0I7KLN25IWP,İST KARTAL ATALAR CD,"Atalar Mahallesi Üsküdar Caddesi No:79/1B/KARTAL, İSTANBUL",40.899417,29.168842,DP-9NCBLLHI6RU2U7SXDNRH
MG-PJTPBQMDNFYF13IHOERG,İST KARTAL CEV CD,"Orhantepe Mh., Cevizler Mevkiinde Çınar Cd., No:19/KARTAL, İSTANBUL",40.908962,29.161173,DP-9NCBLLHI6RU2U7SXDNRH
MG-X9VCUJWHQBVPQAGDMGXV,İST KARTAL ÇARŞI CD,"Kordonboyu Mahallesi Ankara Caddesi No:27/KARTAL, İSTANBUL",40.8888229,29.1874825,DP-9NCBLLHI6RU2U7SXDNRH
MG-IRNSVKMNCXT4NDYFXQAD,İST KRT SOĞANLIK CD,"Orta Mahalle, Atatürk Caddesi, No: 120/A/KARTAL, İSTANBUL",40.9184004,29.2204548,DP-9NCBLLHI6RU2U7SXDNRH
MG-E6HEGRWU1J4PBBGLINBN,İST MARİNA AVM,"Çavuşoğlu Mah. Ankara Cad. 147/6 Marina AVM 2.bodrum kat/KARTAL, İSTANBUL",40.889254,29.2001113,DP-9NCBLLHI6RU2U7SXDNRH
MG-IA4YWZI8ZSBHVNYXTU3B,İST UĞURMUMCU CD,"Uğur Mumcu mahallesi Şeyh Şamil cad. no:13/ CC/KARTAL, İSTANBUL",40.9313247,29.2141777,DP-9NCBLLHI6RU2U7SXDNRH
MG-MXSE2OEBH6HUM4ODCDN3,İST ALTINTEPE CD,"Küçükyalı Mh.Bağdat Cd.No:66 Süheyl Denizler Apt./MALTEPE, İSTANBUL",40.9511543,29.1021923,DP-9NCBLLHI6RU2U7SXDNRH
MG-VISH8POGEX9TDVOGRACE,İST BAĞLARBAŞI CD,"Bağlarbaşı Mahallesi Bağdat Caddesi No: 382/A/MALTEPE, İSTANBUL",40.9227085,29.1342212,DP-9NCBLLHI6RU2U7SXDNRH
MG-PLAUD8AN0LPMGFUJWAIO,İST FUAYE ÇARŞI AVM,"Zümrütevleri Mah. Yol 5 Sokak, No:10, 10A ve 10B, zemin kat/MALTEPE, İSTANBUL",40.9497961,29.173943,DP-9NCBLLHI6RU2U7SXDNRH
