current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,21 dk.,"15,6 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,19 dk.,"17,2 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,23 dk.,"21,1 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,13 dk.,"8,2 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,20 dk.,"16,3 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,17 dk.,"14,1 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,10 dk.,"7,3 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,13 dk.,"10,7 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,15 dk.,"11,5 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,6 dk.,"2,4 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,10 dk.,"7,7 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949,22 dk.,"20,9 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,12 dk.,"4,9 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,8 dk.,"3,6 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,12 dk.,"8,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,23 dk.,"21,7 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,10 dk.,"6,5 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,22 dk.,"17,0 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,19 dk.,"14,8 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,15 dk.,"11,5 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094,16 dk.,"12,2 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,18 dk.,"14,5 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,20 dk.,"14,4 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,15 dk.,"11,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,10 dk.,"4,8 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,23 dk.,"16,5 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,28 dk.,"24,7 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,7 dk.,"2,9 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,11 dk.,"6,6 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298,14 dk.,"6,6 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,11 dk.,"7,9 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,18 dk.,"13,4 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,18 dk.,"15,7 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,27 dk.,"25,9 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,21 dk.,"15,6 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,15 dk.,"12,3 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,11 dk.,"7,7 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,10 dk.,"6,0 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974,6 dk.,"2,4 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
