store_id,store_location,store_address,latitude,longtitute
MG-XS93CUGR22QDXP1C5RX3,İST PENDİK CD,"Batı Mahallesi Gazipaşa Caddesi No:10 Pendik/İstanbul/PENDİK, İSTANBUL",40.8795759,29.2319681
MG-QI7EFZUASU1CI2X7OP2Z,İST PENDİK G.PAŞA CD,"Batı Mahallesi 23 Nisan caddesi No:38/PENDİK, İSTANBUL",40.877133,29.23435
MG-UXJPDIXYECVETWF4FSH5,İST PENDORYA AVM,"Çamçeşme Mahallesi Fabrika Sokak No:5 Pendorya Alışveriş Me/PENDİK, İSTANBUL",40.8661939,29.2749606
MG-G8SER5RHTGTJXVCA9V2M,İST VIAPORT AVM,"Yenişehir Mahallesi Dedepaşa Caddesi/PENDİK, İSTANBUL",40.9395705,29.3176217
MG-KU4AET8EWB1TBDXATSJR,İST SANCAKTEPE CD,"Fatih Blv Fevzi Çakmak Cd. no:2/SANCAKTEPE, İSTANBUL",40.9702857,29.24449559999999
MG-LTWVHHDZLN26T8PU8VJM,İST SNC.DEMOKRASİ CD,"İnönü mah. Demokrasi cad. No:31/AB /SANCAKTEPE, İSTANBUL",41.0102647,29.2160216
MG-C1LGMZ7KTLQUDMPWOYLY,İST ATLASPARK AVM,"Abdurrahmangazi Mah Fatih Bulvarı No:67 Atlaspark AlışvMrk/SULTANBEYLİ, İSTANBUL",40.9696194,29.255561
MG-LEOVSQ2VO3KGWOCAKQNX,İST SULTANBEYLİ CD,"Akif Mah. Fatih Cad. No:141A/SULTANBEYLİ, İSTANBUL",40.967565,29.26595
MG-HFPEK0FWPQMSTC1IXO72,İST ŞİLE CD,"Çavuş Mahallesi, Üsküdar Caddesi, No: 108/ŞİLE, İSTANBUL",41.175887,29.609898
MG-I9OFJAAFBTRDZKGHPZHW,İST TUZLA MARİNA AVM,"Cami Mahallesi, Şehitler Caddesi, No:17, Hblok, ZK123 nolu/TUZLA, İSTANBUL",40.8157139,29.3126996
MG-W3FTCGZLAAICT9DQCBSM,İST AKYAKA AVM,"Saray Mah.Dr.Adnan Büyükdeniz Cd. No:7 A3Blok Akyaka ParkAVM/ÜMRANİYE, İSTANBUL",41.0326174,29.1135949
MG-XSDFXJ93QHQOX0UBNDQN,İST BUYAKA AVM,"Fatih Sultan Mehmet Mahallesi Balkan Caddesi No:56 B/160/ÜMRANİYE, İSTANBUL",41.0264167,29.1276244
MG-STQFARWCNFZ85VRF7ZRK,İST CANPARK AVM,"İnkılap Mahallesi Alemdağ Caddesi No: 169 Can Park AVM/ÜMRANİYE, İSTANBUL",41.0250387,29.1066022
MG-MIUDLTMHB4IBGMX7QI9M,İST METROGARDEN AVM,"Necip Fazıl Mah.Mabeyn Cad.1.Bodrum Katı 10 nolu mağz. No.3/ÜMRANİYE, İSTANBUL",41.0162646,29.1777513
MG-W8BLMRKFKLFOQI1NLTYU,İST ÜMR MEYDAN AVM,"Çakmak Mah. Metro Group Sok. No:243/ÜMRANİYE, İSTANBUL",41.03332899999999,29.10136
MG-0YQN4Q7IEZGB3TKJWO8H,İST ÜMR. ALEMDAĞ CD,"Atatürk Mahallesi Alemdağ Caddesi No:15/A Ümraniye/İstanbul/ÜMRANİYE, İSTANBUL",41.024865,29.087227
MG-WUCMUKQH4AYLUTRTG8LC,İST ÜMR. ALEMDAĞ2 CD,"Atatürk Mahallesi Alemdağ Caddesi No:120/A Ümraniye/İstanbul/ÜMRANİYE, İSTANBUL",41.0253685,29.0944475
MG-MKFEFRJA0WNR9VFIQOTE,İST ACIBADEM PZR CD,"No:97/1A/ÜSKÜDAR, İSTANBUL",41.032236,29.031938
MG-FXIUSMKIJMHQCE5JSKRR,İST ACIBADEM CD,"2. Bölge Bulgurlu Mh. Acıbadem Cd. Başöğretmen Mevkii No:15/ÜSKÜDAR, İSTANBUL",47.3440628,8.5299913
MG-BMYMWJ7TWHQPXZQNIFJV,İST AKASYA AVM,"Ankara Devlet Yolu Haydarpaşa Yönü 4.km Çeçen Sk. Akasya Avm/ÜSKÜDAR, İSTANBUL",41.0189417,29.0576298
MG-3Y9X0UEV5LLRUAI9TMLQ,İST BEYLERBEYİ CD,"Beylerbeyi mah. yalıboyu cd.no:86/ÜSKÜDAR, İSTANBUL",41.0443431,29.0453111
MG-VCPWSHSGQKT0FTISJRDN,İST CAPİTOL AVM,"Altunizade Mahir İz Cad. 9798 Nolu İşyeri Capitol AVM/ÜSKÜDAR, İSTANBUL",41.0209485,29.0394974
MG-VJEUBK1JZEQGFUY13AYK,İST ÇENGELKÖY CD,"Bekardere Halk Cad.No:37 Çengelköy/ÜSKÜDAR, İSTANBUL",41.049788,29.0545406
MG-JMPF7MWR6SCBZIBCECIE,İST EMAAR SQUARE AVM,"Ayazma Caddesi Çamlıca/ÜSKÜDAR, İSTANBUL",41.0005735,29.0673931
MG-AOUMXHKWRKWOZB5AZ7UN,İST NATOYOLU CD,"Güzeltepe mah. Bosna Bulvarı no:129/2A/ÜSKÜDAR, İSTANBUL",41.0475223,29.0761274
MG-5FABEBGHOVKULDJJMCMG,İST ÜSKÜDAR CD,"Mimar Sinan Mahallesi Hakimiyeti Milliye Caddesi No:12/1 Üsk/ÜSKÜDAR, İSTANBUL",41.02435,29.015512
MG-SQXXEQ2NDMBM6FYLKIVH,İST ÜSKÜDAR SUL. CD,"Tembel Hacı Mehmet Mh, Selmani Pak Cd., No:46/ÜSKÜDAR, İSTANBUL",41.025016,29.0188198
